kod;artikul;proizvoditel;edizm;datasozdanija;roditel;osnsklad;zakazy_sklad;tsenazakup;tsenarozn;gruppa_analogov;type_detail
00002887;11428507683;BMW;шт;2022-01-03;0;0;0;2203.04;2205.0;CCBKXJI9RU;фильтр масляный
00002888;3065500;Knecht;шт;2022-01-03;0;0;0;2588.68;2590.0;;фильтр воздушный
00002889;0450906457;Mahle;шт;2022-01-03;0;0;0;1801.2;1955.0;;фильтр топливный
00002890;CUK29412;Mann;шт;2022-01-06;0;0;0;2876.8;2880.0;;фильтр воздушный салонный
00002891;1987435065;Bosch;шт;2022-01-06;0;0;0;1209.77;1210.0;;фильтр воздушный салонный
00002892;SDHD502;Seco;шт;2022-01-10;Сцепление;0;0;3498.0;5100.0;0LSYR94SUD;диск сцепления
00002893;2102027900n;AA;компл;2022-01-12;Шатунно-поршневая группа;0;0;3000.0;3750.0;WSZUHWQ5KJ;вкладыши коренные
00002894;SY26;Valeo PHC;компл;2022-01-12;Сцепление;0;0;11300.0;13850.0;;диск сцеплениякорзина сцепления
00002896;A0000900700;0;шт;2022-01-17;0;0;1;2577.23;2700.0;;фильтр воздушный
00002897;A6991840200;0;шт;2022-01-17;0;0;1;1628.92;1720.0;;фильтр масляный
00002898;A4708350000;0;шт;2022-01-17;0;0;1;2562.36;2680.0;;фильтр воздушный салонный
00002899;P1LA029;PARTS MALL;шт;2022-01-17;Сальники и прокладки двигателя;3;0;57.49;150.0;XI3B067AL9;прокладка коллектора впуск
00002901;00002901;0;шт;2022-01-17;Нераспределено;0;0;500.0;750.0;;болт
00002902;F848135RTR1DZ;KBC;шт;2022-01-18;Коробка передач;1;0;0.0;2245.0;;подшипник коробки
00002903;D316QB7AA01P;Hanon;шт;2022-01-18;Климатическая система;0;0;4300.04;7780.0;BVYQ9IHYG0;электродвигатель печки
00002904;FS175A;Tesla;шт;2022-01-18;Предохранители;1;0;46.0;140.0;;предохранитель ленточный
00002905;003960;0;шт;2022-01-18;Нераспределено;0;0;155.0;285.0;;подушка резинометаллическая для интеркуллера
00002906;A470997870;0;шт;2022-01-18;Нераспределено;0;0;55.15;57.0;;уплкольцо
00002908;RA3463;KYB;шт;2022-01-19;Передняя подвеска;2;0;3267.0;4650.0;XHBN5FCIP5;пружина амортизатора передний
00002909;407641510;Reinz;шт;2022-01-19;Система охлаждения;3;0;39.5;70.0;TEWXM72OXY;уплкольцо трубки корпуса термостата помпы
00002910;KHS459;Kormax;шт;2022-01-19;Раздатка;2;0;173.16;480.0;F407K3CRSU;сальник раздатки
00002911;PXCNC002F;PARTS MALL;шт;2022-01-20;Передняя подвеска;0;0;474.0;790.0;XYX9TQBYK5;опора передней стойки
00002913;CYKH619G;CTR;шт;2022-01-21;Задняя подвеска;2;0;2124.0;5130.0;W4MQMHXFK4;амортизатор задний
00002914;6650530120;0;шт;2022-01-21;Головка блока цилиндров (ГБЦ) и комплектующие;17;0;0.0;185.0;;пружина клапана гбц
00002915;6650530026;0;шт;2022-01-21;Головка блока цилиндров (ГБЦ) и комплектующие;20;0;0.0;185.0;;сухарик клапана двс
00002916;6650530025;0;шт;2022-01-21;Головка блока цилиндров (ГБЦ) и комплектующие;20;0;0.0;200.0;;тарелка пружины клапана
00002917;PDA010;PARTS MALL;шт;2022-01-24;Топливная система;0;0;833.0;1150.0;5F7SQP5FXM;подкачка топливного фильтра
00002918;201107SX;Stellox;шт;2022-01-24;Свечи накала;0;0;626.23;800.0;WRUNN2O85P;свеча накала
00002919;2306023620;HyundaiKia;компл;2022-01-24;Шатунно-поршневая группа;4;0;352.0;580.0;8XSPV2PNFN;вкладыши шатунные
00002920;PBP1595;Patron;компл;2022-01-24;Тормозная система;0;0;1515.73;1970.0;6RKLQOGUEK;колодки тормозные передний
00002921;971132P000n;DOOWON;шт;2022-01-24;Климатическая система;2;0;3826.42;6980.0;I6EF38M2RY;электродвигатель печки
00002922;2232127400;HyundaiKia;шт;2022-01-24;Головка блока цилиндров (ГБЦ) и комплектующие;0;0;357.44;420.0;;болт головки блока
00002923;SSA1427KR;Krauf;шт;2022-01-25;Стартер и комплетующие;1;0;1100.18;3070.0;6OEJIMOSZH;втягивающее стартера
00002924;EGEND00001;Mando;шт;2022-01-25;Коробка передач;0;0;107.1;260.0;3WEK96DG9N;прокладка поддона коробки передач
00002925;5553;NGK;шт;2022-01-25;Свеча зажигания;8;0;326.64;460.0;0GD115W37S;свеча зажигания
00002926;210202B100;KFM;компл;2022-01-26;Шатунно-поршневая группа;2;0;1684.02;2580.0;19J4EA0WT3;вкладыши коренные
00002927;2222302500;HyundaiKia;шт;2022-01-26;Головка блока цилиндров (ГБЦ) и комплектующие;2;0;87.51;180.0;;сухарик клапана двс
00003013;254204X620;Mac;шт;2022-02-18;Система охлаждения;1;0;642.88;980.0;BCNLRQ0FNA;патрубок термостата
00002928;207YU32;Dongil;шт;2022-01-26;Газораспределительный механизм (ГРМ);1;0;1421.93;2050.0;VZ7P5WMLVT;ремень грм
00002929;3550;Norma;шт;2022-01-26;Нераспределено;6;0;39.0;80.0;;хомут
00002930;CVKH78;CTR;шт;2022-01-26;Задняя подвеска;2;0;322.0;680.0;O5O6LLWKQH;сайлентблок рычага
00002931;PCI1266;Patron;шт;2022-01-27;Катушки зажигания;1;0;1334.37;2060.0;T54ETDO88Q;катушка зажигания
00002933;AG429;Goodwill;шт;2022-01-28;Запчасти для ТО;1;0;331.0;690.0;40XJ4223TD;фильтр воздушный
