,kod,data,kolichestvo
0,ЦБ018404,2022-01-04 14:00:08,10
2,ЦБ009655,2022-01-04 14:00:08,20
3,ЦБ019719,2022-01-04 14:00:08,1
4,ЦБ019720,2022-01-04 14:00:08,1
7,ЦБ020210,2022-05-06 16:24:31,1
8,ЦБ017630,2022-05-11 16:24:53,2
9,ЦБ022944,2022-01-20 16:03:15,2
10,ЦБ023083,2022-05-11 16:24:53,4
11,ЦБ018725,2022-05-11 16:24:53,4
12,ЦБ018729,2022-05-11 16:24:53,2
13,ЦБ012361,2022-01-05 16:02:57,2
14,ЦБ006841,2022-01-05 16:02:57,1
15,ЦБ011211,2022-01-05 16:02:57,1
16,ЦБ007190,2022-01-05 16:02:57,1
20,ЦБ018742,2022-05-11 16:24:53,5
21,ЦБ018836,2022-05-24 16:54:14,3
22,ЦБ022449,2022-01-20 16:03:15,2
23,ЦБ022022,2022-01-05 16:30:19,3
24,ЦБ010063,2022-01-05 16:30:19,1
25,ЦБ021542,2022-01-05 16:30:19,3
26,ЦБ016768,2022-01-05 16:30:19,3
27,ЦБ012463,2022-01-05 16:30:19,1
28,ЦБ023093,2022-01-05 16:30:19,1
29,ЦБ023293,2022-01-05 16:30:19,8
31,ЦБ017809,2022-01-05 16:30:19,1
33,ЦБ023227,2022-04-29 16:31:16,1
34,ЦБ019681,2022-04-29 16:31:16,2
35,ЦБ015752,2022-07-11 16:03:43,2
36,ЦБ007261,2022-01-11 16:33:16,16
37,ЦБ022385,2022-01-11 16:33:16,20
38,ЦБ008892,2022-01-11 16:33:16,1
39,ЦБ015555,2022-01-11 16:33:16,2
40,ЦБ016192,2022-01-11 16:33:16,1
41,ЦБ013910,2022-01-11 16:33:16,10
42,ЦБ006430,2022-01-11 16:33:16,2
43,ЦБ015107,2022-01-11 16:33:16,2
45,ЦБ010671,2022-01-14 14:30:39,4
46,ЦБ013166,2022-01-14 14:30:39,2
47,ЦБ023351,2022-01-10 16:16:53,1
49,ЦБ002092,2022-01-10 16:16:53,1
51,ЦБ018737,2022-01-10 16:16:53,6
52,ЦБ010906,2022-01-10 16:16:53,10
53,ЦБ012207,2022-01-10 16:16:53,4
54,ЦБ014418,2022-01-10 16:16:53,1
55,ЦБ007375,2022-01-10 16:32:20,2
57,ЦБ018089,2022-01-10 16:32:20,2
58,ЦБ018737,2022-01-10 16:32:20,4
60,ЦБ013165,2022-01-14 14:30:39,2
62,ЦБ021037,2022-04-29 16:31:16,1
64,ЦБ003281,2022-04-29 16:31:16,2
65,ЦБ005368,2022-05-24 17:37:02,5
66,ЦБ012169,2022-05-24 17:37:02,32
67,ЦБ021788,2022-01-19 15:23:20,4
69,ЦБ019703,2022-02-14 15:20:46,2
70,ЦБ018381,2022-01-14 16:29:08,1
73,ЦБ022116,2022-01-10 17:01:26,2
74,ЦБ003982,2022-01-10 17:03:00,8
76,ЦБ018590,2022-01-10 17:03:00,1
77,ЦБ022803,2022-01-10 17:03:00,2
79,ЦБ018659,2022-01-10 17:03:00,5
80,ЦБ014073,2022-01-10 17:03:00,8
81,ЦБ011385,2022-01-11 10:47:27,10
83,ЦБ003127,2022-01-11 12:53:59,5
84,ЦБ001338,2022-01-11 12:53:59,10
86,ЦБ022035,2022-01-11 12:53:59,1
87,ЦБ002817,2022-01-11 12:53:59,4
88,ЦБ020057,2022-01-11 12:53:59,30
92,ЦБ015284,2022-04-29 16:32:13,1
93,ЦБ015106,2022-01-11 16:33:16,2
