kod,tsenazakup,tsenarozn
00002887,2203.04,2205.0
00002888,2588.68,2590.0
00002889,1801.2,1955.0
00002890,2876.8,2880.0
00002891,1209.77,1210.0
00002892,3498.0,5100.0
00002893,3000.0,3750.0
00002894,11300.0,13850.0
00002896,2577.23,2700.0
00002897,1628.92,1720.0
00002898,2562.36,2680.0
00002899,57.49,150.0
00002901,500.0,750.0
00002902,,2245.0
00002903,4300.04,7780.0
00002904,46.0,140.0
00002905,155.0,285.0
00002906,55.15,57.0
00002908,3267.0,4650.0
00002909,39.5,80.0
00002910,173.16,480.0
00002911,474.0,790.0
00002913,2124.0,5130.0
00002914,,185.0
00002915,,185.0
00002916,,200.0
00002917,833.0,1150.0
00002918,626.23,800.0
00002919,352.0,580.0
00002920,1515.73,1970.0
00002921,3826.42,6980.0
00002922,357.44,420.0
00002923,1100.18,3030.0
00002924,107.1,260.0
00002925,326.64,480.0
00002926,1684.02,2580.0
00002927,87.51,180.0
00002928,1421.93,2060.0
00002929,39.0,80.0
00002930,322.0,680.0
00002931,1334.37,2060.0
00002933,331.0,600.0
00002934,64.48,150.0
00002935,5595.07,5600.0
00002936,846.67,860.0
00002937,1610.56,1630.0
00002938,427.15,430.0
00002939,988.0,910.0
00002940,,
00002941,1568.09,1600.0
00002942,235.36,240.0
00002943,98.81,100.0
00002944,1050.32,1080.0
00002945,453.0,950.0
00002946,944.0,3310.0
00002947,3877.47,7510.0
00002948,2298.0,4520.0
00002949,2450.0,6255.0
00002950,546.0,3500.0
00002951,1575.0,7570.0
00002952,8405.0,11000.0
00002953,10869.0,14000.0
00002954,1150.0,6255.0
00002955,475.0,1350.0
00002956,485.0,2065.0
00002957,485.0,2065.0
00002958,350.0,1705.0
00002959,350.0,1705.0
00002960,420.0,1080.0
00002961,420.0,1260.0
00002962,325.0,1080.0
00002963,325.0,1080.0
00002964,400.0,1350.0
00002965,400.0,1350.0
00002966,400.0,1350.0
00002967,400.0,1530.0
00002968,525.0,1350.0
00002969,525.0,1350.0
00002970,480.0,3135.0
00002971,214.0,1080.0
00002972,214.0,1260.0
00002973,455.0,1170.0
00002974,550.0,2245.0
00002975,500.0,2605.0
00002976,420.0,1080.0
00002977,580.0,3135.0
00002978,,12850.0
00002980,1365.0,3495.0
00002981,1225.0,3135.0
00002982,1168.0,6255.0
00002983,1125.0,5360.0
00002984,1200.0,5360.0
00002985,171.0,1170.0
00002986,295.0,1530.0
00002987,171.0,1170.0
00002988,1149.0,5360.0
00002989,3218.0,12060.0
00002990,359.1,810.0
00002991,2700.0,3500.0
00002992,118.0,1030.0
00002993,72.0,400.0
00002994,1682.0,2350.0
00002995,938.0,1500.0
00002996,250.0,350.0
00002997,700.0,1795.0
00002998,8.5,40.0
00002999,850.19,1360.0
00003000,852.02,1360.0
00003001,2644.63,3850.0
00003002,1333.8,2970.0
00003003,8.4,40.0
00003004,8.4,40.0
00003005,8.4,25.0
00003006,8.4,40.0
00003007,12.5,50.0
00003008,12.5,50.0
00003009,12.5,50.0
00003010,,50.0
00003011,,6255.0
00003012,1827.0,5300.0
00003013,642.88,980.0
00003014,1371.0,3930.0
00003015,,2500.0
00003016,7650.0,8000.0
00003017,66.08,110.0
00003018,25.0,40.0
00003019,651.0,950.0
00003020,782.0,1250.0
00003021,1665.44,2980.0
00003022,2461.5,3770.0
00003023,1445.0,4900.0
00003024,1445.0,4900.0
00003025,399.0,750.0
00003026,5927.0,7015.0
00003027,1059.95,1060.0
00003028,6697.36,6700.0
00003029,675.0,1350.0
00003030,38.51,60.0
00003031,33.34,130.0
00003032,1620.0,2350.0
00003033,500.0,800.0
00003034,1983.36,4430.0
00003035,4550.0,11610.0
00003036,260.99,530.0
00003037,1008.0,1340.0
00003038,29.46,60.0
00003039,1046.37,1900.0
00003040,3066.62,3990.0
00003041,1059.95,1060.0
00003042,4493.51,4550.0
00003043,3709.0,7530.0
00003044,801.0,1530.0
00003045,94.0,315.0
00003046,138.0,300.0
00003047,280.0,450.0
00003048,621.86,1100.0
00003049,1338.0,4385.0
00003050,1635.0,5275.0
00003051,2316.0,4050.0
00003052,2750.0,8315.0
00003053,275.0,740.0
00003054,2555.0,6525.0
00003055,685.0,4725.0
00003056,1023.0,1025.0
00003057,332.0,335.0
00003058,1263.0,1265.0
00003059,347.0,350.0
00003060,1187.0,1190.0
00003061,870.0,870.0
00003062,1610.4,1615.0
00003063,3415.24,3420.0
00003064,8554.1,8555.0
00003065,4357.82,4360.0
00003066,825.44,1280.0
00003067,441.32,680.0
00003068,332.5,640.0
00003069,165.0,360.0
00003071,31.5,450.0
00003072,200.63,290.0
00003073,115.5,380.0
00003074,87.5,650.0
00003075,228.92,370.0
00003076,971.0,2500.0
00003077,15000.0,25000.0
00003078,6838.92,15000.0
00003079,176.0,765.0
00003080,1295.0,3680.0
00003081,735.3,1250.0
00003082,175.0,900.0
00003083,1482.0,1930.0
00003084,2495.0,3950.0
00003085,918.0,1150.0
00003086,2022.0,3650.0
00003087,220.0,380.0
00003088,978.0,1620.0
00003089,247.0,420.0
00003090,1027.0,1700.0
00003091,4877.46,4900.0
00003092,1088.61,3120.0
00003093,2435.45,2010.0
00003094,144.47,220.0
00003095,2042.32,2660.0
00003097,908.36,1180.0
00003098,75.0,75.0
00003099,330.0,330.0
00003100,839.09,1090.0
00003101,688.0,688.0
00003102,24.5,24.5
00003103,,
00003105,839.09,1090.0
00003106,682.75,890.0
00003107,637.5,830.0
00003108,2489.2,3240.0
00003109,939.58,1220.0
00003110,733.22,950.0
00003111,108.0,108.0
00003112,37.0,100.0
00003113,525.0,1500.0
00003114,525.0,1500.0
00003115,139.0,240.0
00003116,1432.05,2040.0
00003117,1230.93,1640.0
00003118,1891.16,2890.0
00003119,139.28,300.0
00003120,791.82,1210.0
00003121,743.26,970.0
00003122,2477.0,4530.0
00003123,108.0,185.0
00003124,50.0,80.0
00003125,659.02,1010.0
00003126,1617.08,2100.0
00003127,1226.55,1510.0
00003128,1094.1,1420.0
00003129,984.97,1420.0
00003130,302.84,570.0
00003131,599.21,1060.0
00003132,299.07,460.0
00003133,320.36,440.0
00003134,722.03,940.0
00003135,695.49,710.0
00003136,253.0,485.0
00003137,191.0,270.0
00003138,91.78,180.0
00003139,841.9,1470.0
00003140,9891.0,13460.0
00003141,9891.0,13730.0
00003142,210.37,380.0
00003143,1782.29,2320.0
00003144,58.0,140.0
00003145,2310.0,3780.0
00003146,127.9,200.0
00003147,325.0,560.0
00003148,198.0,350.0
00003149,196.0,510.0
00003150,934.2,1590.0
00003151,1010.0,2280.0
00003152,503.0,950.0
00003153,455.0,1170.0
00003154,455.0,1170.0
00003155,735.0,1200.0
00003156,294.0,490.0
00003157,1274.28,2040.0
00003158,1425.0,2300.0
00003159,2700.0,2700.0
00003160,1033.97,1650.0
00003161,579.02,580.0
00003162,513.51,515.0
00003163,3334.0,3335.0
00003164,212.27,220.0
00003165,2507.0,2510.0
00003166,598.0,820.0
00003167,179.1,340.0
00003168,3103.65,4040.0
00003169,712.54,1200.0
00003170,206.17,210.0
00003171,223.09,230.0
00003173,69.79,140.0
00003174,1846.0,1850.0
00003175,249.39,350.0
00003176,304.0,305.0
00003177,296.58,430.0
00003178,545.69,710.0
00003179,380.9,630.0
00003180,332.0,540.0
00003181,1551.49,2440.0
00003182,1723.54,1725.0
00003183,130.0,310.0
