datasales;kod;kolichestvo
2022-01-02;00000003;1.0
2022-01-02;ЦБ018178;0.0
2022-01-03;00000003;4.0
2022-01-03;ЦБ000712;1.0
2022-01-03;ЦБ001557;4.0
2022-01-03;ЦБ001559;4.0
2022-01-03;ЦБ004272;2.0
2022-01-03;ЦБ004935;1.0
2022-01-03;ЦБ005368;2.0
2022-01-03;ЦБ005665;1.0
2022-01-03;ЦБ007244;2.0
2022-01-03;ЦБ007263;1.0
2022-01-03;ЦБ010010;4.0
2022-01-03;ЦБ010338;1.0
2022-01-03;ЦБ010792;2.0
2022-01-03;ЦБ011001;1.0
2022-01-03;ЦБ011603;1.0
2022-01-03;ЦБ012376;1.0
2022-01-03;ЦБ013984;1.0
2022-01-03;ЦБ015671;1.0
2022-01-03;ЦБ015672;1.0
2022-01-03;ЦБ015951;1.0
2022-01-03;ЦБ017542;1.0
2022-01-03;ЦБ020250;1.0
2022-01-03;ЦБ020565;1.0
2022-01-03;ЦБ020796;1.0
2022-01-03;ЦБ021419;1.0
2022-01-04;00000003;24.0
2022-01-04;00002888;1.0
2022-01-04;00002889;1.0
2022-01-04;ЦБ000707;3.0
2022-01-04;ЦБ001267;1.0
2022-01-04;ЦБ001551;4.0
2022-01-04;ЦБ001559;4.0
2022-01-04;ЦБ002304;1.0
2022-01-04;ЦБ004657;2.0
2022-01-04;ЦБ004924;1.0
2022-01-04;ЦБ005150;1.0
2022-01-04;ЦБ007244;1.0
2022-01-04;ЦБ007266;2.0
2022-01-04;ЦБ010010;4.0
2022-01-04;ЦБ010136;1.0
2022-01-04;ЦБ010478;2.0
2022-01-04;ЦБ011386;4.0
2022-01-04;ЦБ011559;1.0
2022-01-04;ЦБ011659;1.0
2022-01-04;ЦБ013194;1.0
2022-01-04;ЦБ013980;2.0
2022-01-04;ЦБ013984;1.0
2022-01-04;ЦБ015954;2.0
2022-01-04;ЦБ015985;2.0
2022-01-04;ЦБ016388;1.0
2022-01-04;ЦБ017060;1.0
2022-01-04;ЦБ017436;1.0
2022-01-04;ЦБ017792;1.0
2022-01-04;ЦБ017963;2.0
2022-01-04;ЦБ018091;2.0
2022-01-04;ЦБ018266;1.0
2022-01-04;ЦБ018414;1.0
2022-01-04;ЦБ018722;1.0
2022-01-04;ЦБ018754;1.0
2022-01-04;ЦБ019802;1.0
2022-01-04;ЦБ019962;1.0
2022-01-04;ЦБ020250;1.0
2022-01-04;ЦБ020283;1.0
2022-01-04;ЦБ020895;1.0
2022-01-04;ЦБ021651;1.0
2022-01-04;ЦБ021967;1.0
2022-01-04;ЦБ022053;1.0
2022-01-04;ЦБ022232;1.0
2022-01-04;ЦБ022374;16.0
2022-01-04;ЦБ022606;1.0
2022-01-04;ЦБ022817;1.0
2022-01-04;ЦБ023141;2.0
2022-01-05;00000003;39.0
2022-01-05;ЦБ001267;1.0
2022-01-05;ЦБ001557;1.0
2022-01-05;ЦБ002300;1.0
2022-01-05;ЦБ002304;1.0
2022-01-05;ЦБ003024;1.0
2022-01-05;ЦБ004272;1.0
2022-01-05;ЦБ005150;1.0
2022-01-05;ЦБ005368;4.0
2022-01-05;ЦБ007190;1.0
2022-01-05;ЦБ007208;1.0
2022-01-05;ЦБ007244;2.0
2022-01-05;ЦБ007458;2.0
2022-01-05;ЦБ008650;5.0
2022-01-05;ЦБ009264;1.0
2022-01-05;ЦБ009380;2.0
2022-01-05;ЦБ010946;1.0
2022-01-05;ЦБ011091;5.0
2022-01-05;ЦБ011127;1.0
2022-01-05;ЦБ011221;1.0
2022-01-05;ЦБ011227;4.0
2022-01-05;ЦБ011392;3.0
2022-01-05;ЦБ012376;12.0
2022-01-05;ЦБ012464;1.0
2022-01-05;ЦБ013316;1.0
2022-01-05;ЦБ013984;1.0
2022-01-05;ЦБ014840;1.0
2022-01-05;ЦБ015703;1.0
2022-01-05;ЦБ015749;1.0
2022-01-05;ЦБ016605;1.0
2022-01-05;ЦБ018346;1.0
2022-01-05;ЦБ018400;1.0
2022-01-05;ЦБ018404;1.0
2022-01-05;ЦБ018656;1.0
2022-01-05;ЦБ018689;1.0
2022-01-05;ЦБ018737;1.0
2022-01-05;ЦБ018742;1.0
2022-01-05;ЦБ018748;2.0
2022-01-05;ЦБ018754;1.0
2022-01-05;ЦБ019310;1.0
2022-01-05;ЦБ019326;3.0
2022-01-05;ЦБ020977;1.0
2022-01-05;ЦБ021107;1.0
2022-01-05;ЦБ021335;1.0
2022-01-05;ЦБ021366;1.0
2022-01-05;ЦБ021714;1.0
2022-01-05;ЦБ022417;1.0
2022-01-05;ЦБ023542;1.0
2022-01-05;ЦБ023548;1.0
2022-01-06;00000003;21.0
2022-01-06;ЦБ001556;1.0
2022-01-06;ЦБ001557;1.0
2022-01-06;ЦБ001559;12.0
2022-01-06;ЦБ004758;1.0
2022-01-06;ЦБ004924;2.0
2022-01-06;ЦБ005541;1.0
2022-01-06;ЦБ008027;1.0
2022-01-06;ЦБ008886;1.0
2022-01-06;ЦБ009169;1.0
2022-01-06;ЦБ009380;2.0
2022-01-06;ЦБ010329;6.0
2022-01-06;ЦБ011049;1.0
2022-01-06;ЦБ011227;1.0
2022-01-06;ЦБ012333;1.0
2022-01-06;ЦБ012747;3.0
2022-01-06;ЦБ012950;1.0
2022-01-06;ЦБ013065;1.0
2022-01-06;ЦБ013535;1.0
2022-01-06;ЦБ015703;1.0
2022-01-06;ЦБ016535;3.0
2022-01-06;ЦБ016923;1.0
2022-01-06;ЦБ018689;1.0
2022-01-06;ЦБ018724;1.0
2022-01-06;ЦБ018753;1.0
2022-01-06;ЦБ020364;1.0
2022-01-06;ЦБ021157;1.0
2022-01-06;ЦБ021448;1.0
2022-01-06;ЦБ021507;4.0
2022-01-06;ЦБ021946;1.0
2022-01-06;ЦБ022036;1.0
2022-01-06;ЦБ022657;1.0
2022-01-06;ЦБ022913;1.0
2022-01-07;00000003;16.0
2022-01-07;ЦБ001329;1.0
2022-01-07;ЦБ002300;1.0
2022-01-07;ЦБ002761;2.0
2022-01-07;ЦБ002762;2.0
2022-01-07;ЦБ003385;1.0
2022-01-07;ЦБ004070;2.0
2022-01-07;ЦБ004744;2.0
2022-01-07;ЦБ006565;1.0
2022-01-07;ЦБ006828;1.0
2022-01-07;ЦБ006829;1.0
2022-01-07;ЦБ007229;2.0
2022-01-07;ЦБ009643;1.0
2022-01-07;ЦБ009655;6.0
2022-01-07;ЦБ010590;2.0
2022-01-07;ЦБ012333;2.0
2022-01-07;ЦБ014481;1.0
2022-01-07;ЦБ015658;1.0
2022-01-07;ЦБ017575;1.0
2022-01-07;ЦБ018759;1.0
2022-01-07;ЦБ019014;1.0
2022-01-07;ЦБ020344;5.0
2022-01-07;ЦБ020786;1.0
2022-01-08;00000003;37.0
2022-01-08;ЦБ000712;4.0
2022-01-08;ЦБ000817;1.0
2022-01-08;ЦБ000866;1.0
2022-01-08;ЦБ001267;1.0
2022-01-08;ЦБ001980;1.0
2022-01-08;ЦБ002364;1.0
