kod,year_month,total_sales,balance
00000003,2022-01,810.0,
00000003,2022-02,646.0,
00000003,2022-03,798.0,
00000003,2022-04,946.0,
00000003,2022-05,991.0,
00000003,2022-06,949.0,
00000003,2022-07,1000.0,
00000003,2022-08,1033.0,
00000003,2022-09,976.0,
00000003,2022-10,1187.0,
00000003,2022-11,1084.0,
00000003,2022-12,1003.0,
00000003,2023-01,821.0,
00000003,2023-02,881.0,
00000003,2023-03,1098.0,
00000003,2023-04,1070.0,
00000003,2023-05,1345.0,
00000003,2023-06,1290.0,
00000003,2023-07,1004.0,
00000003,2023-08,1010.0,
00000003,2023-09,1211.0,
00000003,2023-10,1517.0,
00000003,2023-11,1281.0,
00000003,2023-12,823.0,
00000003,2024-01,906.0,
00000003,2024-02,1023.0,
00000003,2024-03,1234.0,
00000003,2024-04,1521.0,
00000003,2024-05,1450.0,
00000003,2024-06,1378.0,
00000003,2024-07,1289.0,
00000003,2024-08,165.0,
00001810,2022-01,1.0,1.0
00001810,2022-04,1.0,2.0
00001810,2022-05,1.0,
00001810,2022-06,1.0,1.0
00001810,2022-07,1.0,1.0
00001810,2022-11,2.0,1.0
00001810,2023-07,1.0,
00001810,2024-01,1.0,1.0
00001810,2024-07,2.0,1.0
00002831,2022-03,3.0,2.0
00002831,2022-07,2.0,
00002831,2022-09,1.0,
00002831,2022-11,2.0,2.0
00002831,2023-01,3.0,
00002831,2023-05,1.0,1.0
00002831,2023-10,1.0,1.0
00002831,2024-02,4.0,1.0
00002832,2022-08,3.0,3.0
00002832,2022-11,4.0,3.0
00002832,2023-10,1.0,1.0
00002834,2022-01,1.0,1.0
00002834,2023-05,1.0,1.0
00002836,2022-01,1.0,1.0
00002836,2023-07,1.0,
00002837,2023-10,1.0,1.0
00002838,2023-07,1.0,
00002840,2023-07,1.0,
00002841,2022-11,1.0,1.0
00002841,2023-07,1.0,
00002844,2022-02,1.0,1.0
00002844,2022-03,2.0,2.0
00002844,2022-06,2.0,3.0
00002844,2022-07,1.0,
00002844,2022-11,1.0,
00002844,2023-03,3.0,3.0
00002844,2023-04,1.0,
00002844,2023-05,2.0,2.0
00002844,2023-08,1.0,1.0
00002844,2023-12,1.0,
00002844,2024-01,1.0,1.0
00002844,2024-04,1.0,1.0
00002844,2024-05,1.0,1.0
00002844,2024-06,2.0,3.0
00002844,2024-07,1.0,
00002847,2022-12,1.0,1.0
00002847,2024-07,1.0,
00002848,2023-04,1.0,1.0
00002850,2022-08,3.0,3.0
00002851,2022-10,3.0,4.0
00002851,2022-11,3.0,2.0
00002851,2023-03,1.0,1.0
00002852,2022-01,1.0,
00002856,2023-03,4.0,4.0
00002856,2023-04,4.0,
00002856,2023-05,4.0,4.0
00002856,2024-04,4.0,4.0
00002856,2024-06,8.0,8.0
00002858,2022-02,2.0,2.0
00002858,2022-03,2.0,2.0
00002858,2022-04,2.0,1.0
00002858,2022-05,1.0,5.0
00002858,2022-06,5.0,3.0
00002858,2022-07,2.0,2.0
00002858,2022-08,1.0,2.0
00002858,2022-09,1.0,2.0
00002858,2022-10,2.0,4.0
00002858,2022-11,5.0,3.0
00002858,2022-12,1.0,
00002858,2023-01,1.0,2.0
00002858,2023-02,1.0,2.0
00002858,2023-03,3.0,2.0
00002858,2023-04,1.0,3.0
00002858,2023-05,5.0,4.0
00002858,2023-06,3.0,2.0
00002858,2023-07,1.0,1.0
00002858,2023-08,2.0,3.0
00002858,2023-09,2.0,3.0
00002858,2023-10,1.0,2.0
00002858,2023-11,4.0,3.0
00002858,2023-12,6.0,5.0
00002858,2024-01,2.0,1.0
00002858,2024-02,1.0,1.0
00002858,2024-03,3.0,3.0
00002858,2024-04,4.0,6.0
00002858,2024-05,3.0,1.0
00002858,2024-06,2.0,2.0
00002859,2024-07,1.0,1.0
00002860,2022-01,1.0,1.0
00002860,2022-06,1.0,1.0
00002860,2022-09,1.0,
00002861,2022-06,4.0,
00002861,2022-07,4.0,
00002861,2022-12,4.0,
00002861,2023-04,5.0,
00002861,2023-08,4.0,
00002861,2023-11,2.0,
00002862,2022-02,6.0,
00002862,2022-03,26.0,
00002862,2022-08,16.0,
00002862,2022-10,4.0,
00002862,2023-01,10.0,
00002862,2023-08,43.0,
00002862,2024-05,7.0,
00002862,2024-06,9.0,
00002863,2022-03,2.0,2.0
00002863,2022-08,2.0,
00002863,2023-03,2.0,
00002863,2023-04,2.0,
00002863,2023-06,2.0,
00002863,2023-09,2.0,
00002863,2024-04,2.0,
00002863,2024-06,2.0,
00002863,2024-07,2.0,
00002864,2022-03,2.0,2.0
00002864,2022-04,2.0,
00002864,2022-06,2.0,
00002864,2022-07,4.0,
00002864,2022-08,6.0,
00002864,2022-09,8.0,
00002864,2022-11,4.0,
00002864,2022-12,2.0,
00002864,2023-04,2.0,
00002864,2023-05,6.0,
00002864,2023-06,4.0,
00002864,2023-07,10.0,
00002864,2023-08,2.0,
00002864,2023-09,2.0,
00002864,2023-10,4.0,
00002864,2024-01,2.0,
00002864,2024-04,2.0,
00002864,2024-06,2.0,
00002866,2023-06,1.0,1.0
00002867,2022-02,1.0,1.0
00002867,2022-03,3.0,
00002867,2022-04,2.0,
00002867,2022-05,1.0,
00002867,2022-06,1.0,
00002867,2022-07,5.0,
