kod,рЕЙСЫХИ ЛЕЯЪЖ,prev sells,prev-1 sells,prev-2 sells,prev-3 sells,prev-4 sells,prev-5 sells,prev-6 sells,prev-7 sells,prev-8 sells,prev-9 sells,prev-10 sells,prev-11 sells,prev-12 sells,prev-13 sells,prev-14 sells,prev-15 sells,prev-16 sells,prev-17 sells,prev-18 sells,oldest sells,гЮ ЦНД
00000003   ,891,1378,1450,1521,1234,1023,906,823,1281,1517,1211,1010,1004,1290,1345,1070,1098,881,821,1003,1084,15648
00001810   ,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
00002831   ,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,5
00002832   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1
00002834   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00002836   ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
00002837   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00002838   ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
00002840   ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
00002841   ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
00002844   ,1,2,1,1,0,0,1,1,0,0,0,1,0,0,2,1,3,0,0,0,1,7
00002847   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
00002848   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00002850   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002851   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
00002852   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002856   ,0,8,0,4,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,12
00002858   ,0,2,3,4,3,1,2,6,4,1,2,2,1,3,5,1,3,1,1,1,5,34
00002859   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002860   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002861   ,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,5,0,0,0,4,0,6
00002862   ,0,9,7,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,10,0,0,59
00002863   ,2,2,0,2,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,8
00002864   ,0,2,0,2,0,0,2,0,0,4,2,2,10,4,6,2,0,0,0,2,4,28
00002866   ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
00002867   ,0,1,1,2,3,2,2,1,3,4,0,0,1,2,0,1,2,3,2,3,2,22
00002868   ,0,0,0,0,1,1,1,1,0,0,1,0,2,1,2,2,0,0,2,0,0,8
00002869   ,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,5
00002873   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
00002875   ,0,0,0,2,1,1,0,2,0,1,0,0,0,1,1,0,0,1,1,1,0,8
00002876   ,0,2,1,1,0,0,1,1,2,1,1,0,0,2,0,1,0,4,0,0,2,12
00002877   ,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,0,0,0,3,3
00002879   ,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
00002881   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002886   ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
00002887   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002888   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002889   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00002890   ,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2
00002891   ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
00002892   ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
00002893   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002894   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002895   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002896   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002897   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002898   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002899   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002900   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002901   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002903   ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
