,kod,year_month,kolichestvo,summa
319,00002899,2022-01,1.0,230.0
325,00002904,2022-01,1.0,120.0
331,00002908,2022-05,2.0,0.0
332,00002908,2022-10,2.0,0.0
333,00002908,2024-04,2.0,0.0
334,00002909,2022-11,1.0,90.0
335,00002909,2023-05,1.0,50.0
336,00002909,2023-12,1.0,70.0
337,00002909,2024-03,2.0,800.0
338,00002909,2024-05,1.0,80.0
339,00002909,2024-07,1.0,70.0
340,00002909,2024-08,1.0,80.0
341,00002910,2022-01,1.0,450.0
345,00002914,2023-10,2.0,370.0
346,00002914,2023-12,1.0,185.0
356,00002919,2022-05,2.0,0.0
357,00002919,2022-07,4.0,0.0
358,00002919,2022-08,4.0,0.0
359,00002919,2022-10,4.0,0.0
360,00002919,2022-11,4.0,0.0
361,00002919,2023-04,8.0,0.0
362,00002919,2023-10,5.0,490.0
363,00002919,2024-01,4.0,0.0
364,00002919,2024-03,4.0,490.0
365,00002919,2024-04,4.0,0.0
366,00002919,2024-09,3.0,0.0
369,00002921,2022-02,1.0,0.0
370,00002921,2022-09,1.0,0.0
371,00002921,2024-08,1.0,0.0
378,00002925,2022-03,4.0,0.0
379,00002925,2022-05,4.0,0.0
380,00002925,2022-06,8.0,0.0
381,00002925,2022-10,4.0,0.0
382,00002925,2022-12,8.0,0.0
383,00002925,2023-07,4.0,0.0
384,00002925,2023-08,4.0,0.0
385,00002925,2023-11,4.0,0.0
386,00002925,2024-02,4.0,0.0
387,00002925,2024-03,4.0,0.0
388,00002925,2024-04,4.0,0.0
389,00002925,2024-06,4.0,0.0
390,00002926,2022-02,1.0,0.0
391,00002926,2023-03,2.0,0.0
392,00002926,2023-04,0.0,0.0
393,00002926,2024-07,1.0,0.0
394,00002927,2022-02,1.0,120.0
395,00002927,2022-07,1.0,200.0
396,00002927,2022-10,7.0,0.0
397,00002927,2023-08,2.0,380.0
398,00002927,2024-02,1.0,190.0
399,00002927,2024-06,3.0,570.0
400,00002927,2024-07,5.0,910.0
401,00002928,2022-11,1.0,0.0
