kod;date;balance
00002887;2021-12-01;0.0
00002888;2021-12-01;0.0
00002889;2021-12-01;0.0
00002890;2021-12-01;0.0
00002891;2021-12-01;0.0
00002892;2021-12-01;0.0
00002893;2021-12-01;0.0
00002894;2021-12-01;0.0
00002896;2021-12-01;0.0
00002897;2021-12-01;0.0
00002898;2021-12-01;0.0
00002899;2021-12-01;0.0
00002901;2021-12-01;0.0
00002902;2021-12-01;0.0
00002903;2021-12-01;0.0
00002904;2021-12-01;0.0
00002905;2021-12-01;0.0
00002906;2021-12-01;0.0
00002908;2021-12-01;0.0
00002909;2021-12-01;0.0
00002910;2021-12-01;0.0
00002911;2021-12-01;0.0
00002913;2021-12-01;0.0
00002914;2021-12-01;0.0
00002915;2021-12-01;0.0
00002916;2021-12-01;0.0
00002917;2021-12-01;0.0
00002918;2021-12-01;0.0
00002919;2021-12-01;0.0
00002920;2021-12-01;0.0
00002921;2021-12-01;0.0
00002922;2021-12-01;0.0
00002923;2021-12-01;0.0
00002924;2021-12-01;0.0
00002925;2021-12-01;0.0
00002926;2021-12-01;0.0
00002927;2021-12-01;0.0
00002928;2021-12-01;0.0
00002929;2021-12-01;0.0
00002930;2021-12-01;0.0
00002931;2021-12-01;0.0
00002933;2021-12-01;0.0
00002934;2021-12-01;0.0
00002935;2021-12-01;0.0
00002936;2021-12-01;0.0
00002937;2021-12-01;0.0
00002938;2021-12-01;0.0
00002939;2021-12-01;0.0
00002941;2021-12-01;0.0
00002942;2021-12-01;0.0
00002943;2021-12-01;0.0
00002944;2021-12-01;0.0
00002945;2021-12-01;0.0
00002946;2021-12-01;0.0
00002947;2021-12-01;0.0
00002948;2021-12-01;0.0
00002949;2021-12-01;0.0
00002950;2021-12-01;0.0
00002951;2021-12-01;0.0
00002952;2021-12-01;0.0
00002953;2021-12-01;0.0
00002954;2021-12-01;0.0
00002955;2021-12-01;0.0
00002956;2021-12-01;0.0
00002957;2021-12-01;0.0
00002958;2021-12-01;0.0
00002959;2021-12-01;0.0
00002960;2021-12-01;0.0
00002961;2021-12-01;0.0
00002962;2021-12-01;0.0
00002963;2021-12-01;0.0
00002964;2021-12-01;0.0
00002965;2021-12-01;0.0
