,kod,year_month,kolichestvo,summa
195,00002899,2022-01,2.0,187.49
196,00002899,2022-02,2.0,114.98
200,00002904,2022-01,2.0,92.0
206,00002908,2022-01,2.0,0.0
207,00002908,2022-06,2.0,0.0
208,00002908,2023-11,2.0,0.0
209,00002908,2024-04,2.0,0.0
210,00002909,2022-01,2.0,58.0
211,00002909,2023-05,2.0,73.74
212,00002909,2024-03,6.0,497.5
213,00002910,2022-01,3.0,696.3199999999999
217,00002913,2022-01,2.0,0.0
225,00002919,2022-01,8.0,2063.76
226,00002919,2022-02,8.0,2507.12
227,00002919,2022-11,6.0,2017.8000000000002
228,00002919,2023-04,8.0,2247.6
229,00002919,2023-05,8.0,2165.44
230,00002919,2023-10,1.0,297.24
231,00002919,2024-03,8.0,2816.0
234,00002921,2022-01,2.0,0.0
235,00002921,2024-02,3.0,0.0
237,00002923,2022-01,1.0,0.0
240,00002925,2022-01,20.0,3240.0
241,00002925,2022-05,4.0,1176.0
242,00002925,2022-06,4.0,1176.0
243,00002925,2022-12,4.0,1148.0
244,00002925,2023-11,8.0,2048.96
245,00002925,2024-03,4.0,1492.0
246,00002925,2024-04,4.0,1320.0
247,00002925,2024-05,4.0,1156.0
248,00002925,2024-06,4.0,1306.56
249,00002926,2022-01,1.0,0.0
250,00002926,2022-11,2.0,1995.0
251,00002926,2023-03,2.0,0.0
252,00002926,2023-10,3.0,0.0
253,00002927,2022-01,1.0,50.0
254,00002927,2022-02,8.0,526.24
255,00002927,2022-10,8.0,862.16
256,00002927,2024-07,5.0,437.55
257,00002928,2022-01,1.0,0.0
258,00002928,2022-11,1.0,0.0
259,00002928,2023-05,1.0,0.0
260,00002928,2024-02,1.0,0.0
261,00002928,2024-05,1.0,0.0
262,00002929,2022-01,25.0,500.0
263,00002929,2023-05,2.0,54.0
264,00002929,2023-10,10.0,390.0
265,00002929,2024-09,10.0,390.0
266,00002930,2022-01,4.0,1300.0
267,00002930,2022-02,2.0,536.0
268,00002930,2022-08,2.0,644.0
271,00002933,2022-01,2.0,662.0
272,00002934,2022-01,16.0,960.0
273,00002934,2023-07,10.0,644.8000000000001
274,00002934,2024-10,6.0,480.0
305,00002999,2022-02,2.0,1610.0
306,00002999,2023-03,1.0,800.54
307,00002999,2023-07,2.0,1700.38
308,00003000,2022-02,2.0,1610.7
309,00003000,2023-05,1.0,848.1
310,00003000,2023-06,2.0,1704.04
311,00003000,2024-08,1.0,925.74
314,00003002,2022-02,3.0,0.0
315,00003002,2022-07,1.0,0.0
316,00003002,2022-09,9.0,0.0
321,00003007,2022-02,20.0,250.0
322,00003008,2022-02,20.0,250.0
323,00003009,2022-02,20.0,250.0
324,00003013,2022-02,1.0,489.0
325,00003013,2022-10,1.0,566.0
326,00003013,2023-11,1.0,642.88
327,00003013,2024-09,1.0,569.0
329,00003017,2022-02,2.0,120.0
330,00003017,2022-03,3.0,198.24
331,00003018,2022-02,5.0,160.82999999999998
332,00003018,2022-07,5.0,125.0
333,00003019,2022-02,3.0,2202.0
336,00003021,2022-02,1.0,0.0
337,00003021,2022-12,1.0,0.0
338,00003021,2023-11,1.0,0.0
339,00003022,2022-05,2.0,0.0
340,00003022,2023-01,2.0,0.0
341,00003022,2023-03,2.0,0.0
342,00003022,2023-04,4.0,0.0
343,00003022,2023-05,6.0,0.0
344,00003022,2023-07,4.0,0.0
345,00003022,2023-10,2.0,0.0
346,00003022,2023-11,2.0,0.0
347,00003022,2023-12,6.0,0.0
348,00003022,2024-03,2.0,0.0
349,00003022,2024-05,6.0,0.0
350,00003022,2024-07,6.0,0.0
361,00003030,2022-02,10.0,385.09999999999997
362,00003031,2022-02,10.0,333.40000000000003
365,00003034,2022-02,2.0,0.0
366,00003034,2023-02,2.0,0.0
369,00003038,2022-03,10.0,294.6
370,00003039,2022-03,4.0,3521.12
371,00003039,2023-07,4.0,0.0
372,00003039,2023-10,4.0,3992.0
373,00003039,2023-11,12.0,0.0
374,00003039,2024-06,4.0,0.0
375,00003040,2022-03,2.0,0.0
378,00003048,2022-03,1.0,0.0
379,00003048,2022-06,1.0,0.0
380,00003048,2023-03,2.0,1883.68
381,00003048,2023-04,2.0,0.0
382,00003048,2024-01,4.0,2513.28
383,00003048,2024-02,6.0,2533.44
384,00003048,2024-03,2.0,1650.0
385,00003048,2024-05,4.0,2750.72
386,00003048,2024-07,3.0,1865.58
415,00003066,2022-09,8.0,7408.639999999999
416,00003066,2023-07,4.0,3149.6
417,00003066,2024-04,20.0,17252.48
418,00003067,2022-04,4.0,2030.4
419,00003067,2022-05,16.0,7680.0
420,00003067,2022-06,8.0,4080.0
421,00003067,2022-07,8.0,4212.0
422,00003067,2022-08,8.0,4256.0
423,00003067,2022-10,16.0,7870.24
424,00003067,2022-11,8.0,3995.2
425,00003067,2023-04,32.0,8593.28
426,00003067,2024-03,32.0,11791.36
427,00003067,2024-07,8.0,3530.56
428,00003067,2024-09,16.0,6235.68
429,00003068,2022-03,12.0,5374.32
430,00003068,2022-05,4.0,1804.0
